Front,Back
Tachi Waza,Standing techniques
Standing techniques,Tachi Waza
Kumi Kata,Gripping strategy
Gripping strategy,Kumi Kata
Nage Waza,Throwing techniques
Throwing techniques,Nage Waza
Ashi Waza,Foot and leg techniques
Foot and leg techniques,Ashi Waza
Ko Soto Gari,Minor outside reaping throw
Minor outside reaping throw,Ko Soto Gari
Ko Uchi Gari,Minor inside reaping throw
Minor inside reaping throw,Ko Uchi Gari
Okuri Ashi Barai,Sliding foot sweep
Sliding foot sweep,Okuri Ashi Barai
Uchi Mata,Inner thigh throw
Inner thigh throw,Uchi Mata
Kenka Yotsu,Opposite side stance
Opposite side stance,Kenka Yotsu
Te Waza,Hand techniques
Hand techniques,Te Waza
Tai Otoshi,Body drop
Body drop,Tai Otoshi
Koshi Waza,Hip techniques
Hip techniques,Koshi Waza
Harai Goshi,Sweeping hip
Sweeping hip,Harai Goshi
Koshi Guruma,Hip wheel
Hip wheel,Koshi Guruma
Tsurikomi Goshi,Lifting and pulling hip throw
Lifting and pulling hip throw,Tsurikomi Goshi
Kaeshi No Waza,Counter techniques
Counter techniques,Kaeshi No Waza
Katame Waza,Grappling techniques
Grappling techniques,Katame Waza
Shime Waza,Choking techniques
Choking techniques,Shime Waza
Gyaku Juji Jime,Reverse cross choke
Reverse cross choke,Gyaku Juji Jime
Hairi Waza,Transition techniques
Transition techniques,Hairi Waza
Sankaku Gatame,Triangle hold
Triangle hold,Sankaku Gatame
Sankaku Osaekomi,Triangle pin
Triangle pin,Sankaku Osaekomi
Sankaku Jime,Triangle choke
Triangle choke,Sankaku Jime
Okuri Eri Jime,Sliding collar choke
Sliding collar choke,Okuri Eri Jime
Shido,Note! (referee call for slight penalty)
Note! (referee call for slight penalty),Shido
Hansoku Make,Loss by rule violation
Loss by rule violation,Hansoku Make
Nage,Throw
Throw,Nage
Sono Mama,Don't move (referee call)
Don't move (referee call),Sono Mama
Yoshi,Continue (referee call)
Continue (referee call),Yoshi
Shizen Hontai,Fundamental natural posture
Fundamental natural posture,Shizen Hontai
Jigo Hontai,Fundamental defensive posture
Fundamental defensive posture,Jigo Hontai
Kiai,Shout to gather inner strength
Shout to gather inner strength,Kiai
Te,Hand
Hand,Te
Ashi,Foot or leg
Foot or leg,Ashi
O,Big or major
Big or major,O
Ko,Little or minor
Little or minor,Ko
Kuzushi,Off balance
Off balance,Kuzushi
Kake,Execution of a throw
Execution of a throw,Kake
Harai or Barai,Sweeping action done with the leg
Sweeping action done with the leg,Harai or Barai
Gari,Reaping action done with the leg
Reaping action done with the leg,Gari
Gake or Kake,Dashing action done with the leg
Dashing action done with the leg,Gake or Kake
Hane,Springing action done with the leg
Springing action done with the leg,Hane
Goshi or Koshi,Waist or hip
Waist or hip,Goshi or Koshi
Soto,Outside
Outside,Soto
Uchi,Inside
Inside,Uchi
Osoto Gari,Major outside reaping throw
Major outside reaping throw,Osoto Gari
Sutemi Waza,Sacrificing techniques
Sacrificing techniques,Sutemi Waza
Ma Sutemi Waza,Back sacrifice techniques
Back sacrifice techniques,Ma Sutemi Waza
Yoko Sutemi Waza,Side sacrifice techniques
Side sacrifice techniques,Yoko Sutemi Waza
Uchi Mata note,Uchi Mata is consistently one of the most successful competition throws globally
Tai Otoshi note,Tai Otoshi is another opposite side technique requiring sleeve tension and angle
Good counter to Osoto Gari,Osoto Gaeshi
Good counter to O Goshi,O Goshi with outside leg jump around to De Ashi Barai
