Front,Back
Guiding principles of judo,Jita kyoei and seiryoku zenyo
Jita kyoei,Mutual benefit and welfare
Mutual benefit and welfare,Jita kyoei
Seiryoku zenyo,Maximum efficiency
Maximum efficiency,Seiryoku zenyo
Tachi waza,Standing techniques
Standing techniques,Tachi waza
Kumi kata,Gripping strategy
Gripping strategy,Kumi kata
Ai-yotsu,Same side grip
Same side grip,Ai-yotsu
Kenka-yotsu,Opposite side grip
Opposite side grip,Kenka-yotsu
Nage waza,Throwing techniques
Throwing techniques,Nage waza
Ashi waza,Foot/leg techniques
Foot/leg techniques,Ashi waza
De ashi barai,Forward foot sweep
Forward foot sweep,De ashi barai
Hiza guruma,Knee wheel
Knee wheel,Hiza guruma
Sasae tsuri komi ashi,Propping and drawing ankle throw
Propping and drawing ankle throw,Sasae tsuri komi ashi
Osoto gari,Major outside reaping throw
Major outside reaping throw,Osoto gari
Ouchi gari,Major inner reaping throw
Major inner reaping throw,Ouchi gari
Te waza,Hand techniques
Hand techniques,Te waza
Seoi nage,Shoulder throw
Shoulder throw,Seoi nage
Most scored throw in competition,Seoi nage
Good transition throw into Seoi or Uchi mata,Ouchi gari
Koshi waza,Hip techniques
Hip techniques,Koshi waza
Uki goshi,Half hip throw
Half hip throw,Uki goshi
O goshi,Major hip throw
Major hip throw,O goshi
Bogyo,Throw defense
Throw defense,Bogyo
Defense against O goshi,Inside leg jump around
Defense against Seoi,Outside leg jump around
Defense against Osoto gari,Step away
Katame waza,Grappling techniques
Grappling techniques,Katame waza
Osaekomi waza,Holding techniques
Holding techniques,Osaekomi waza
Shime waza,Choke techniques
Choke techniques,Shime waza
Kansetsu waza,Joint lock techniques
Joint lock techniques,Kansetsu waza
Escapes from Kesa and Yoko,"Trap the leg, bridge and roll, and back door escape"
Escape from Kami,Leg swing to half guard
Leg swing to half guard,Escape from Kami
Hadaka jime,Naked choke
Naked choke,Hadaka jime
Nami juji jime,Normal cross choke
Normal cross choke,Nami juji jime
Kata juji jime,Half cross choke
Half cross choke,Kata juji jime
Hairi waza,Transition techniques into matwork
Transition techniques into matwork,Hairi waza
Uke is flat facedown techniques,"Double hand belt pull, crab ride, Kami shiho gatame"
Kami shiho gatame drill,"Kami shiho gatame, Kuzure kami shiho gatame, Kata jime"
Side approach techniques,Power half nelson and chicken wing
Attack the turtle techniques,"Arm inside series/cross face turnover, far lapel turn to Kata gatame"
Guard passes and attacks from guard,"Pants ankle pull pass, knee slicer, shuck the leg, hug the leg and split the leg half guard escapes"
Newaza skills and drills,"Uki gatame floating drill, knee on belly, side to side knee on belly drill"
Ukemi waza,Falling techniques
Falling techniques,Ukemi waza
Zempo kaiten ukemi,Forward rolling fall
Forward rolling fall,Zempo kaiten ukemi
Yoko ukemi,Side fall
